caseName,status,websiteDbName,cleanClaimsDbName,submittedOnlineCount,matchedInCleanClaimsCount,missingCount,missingAfterDeadlineCount,largestMissingDay,largestMissingDayCount,deadlineDate,referenceDate,isDBOnline,isActive,description
"(EEOC) v. 24 Hour Fitness USA, LLC",OK,24HourFitnessUSA_EEOC_C,24HourFitnessUSA_EEOC_C_SQL,0,0,0,0,,0,2026-01-30,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"1925 Hooper LLC, et al. v. The National Association of Realtors, et al.",OK,NationalAssociationOfRealtors_Hooper_C,NationalAssociationOfRealtors_Hooper_C_SQL,43929,43929,0,1,,0,2025-09-20,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Alcazar v. Fashion Nova, Inc",OK,FashionNova_Alcazar_C,FashionNova_Alcazar_C_SQL,733644,733644,0,2563,,0,2025-10-20,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
Allin v. Compassion Health Care,OK,CompassionHealthCare_Allin_C,CompassionHealthCare_Allin_C_SQL,566,566,0,0,,0,2026-05-04,2025-06-13,ONLINE,true,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Andrews v. Bojangles OpCo, LLC",OK,Bojangles_Andrews_PC,Bojangles_Andrews_PC_SQL,0,0,0,0,,0,2024-12-31,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Basham v. Tailored Living Choices, LLC (Post Cert)",OK,TailoredLivingChoices_Basham_PC,TailoredLivingChoices_Basham_PC_SQL,0,0,0,0,,0,2025-08-19,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
BelcampoGroup_Freeman_C,OK,BelcampoGroup_Freeman_C,BelcampoGroup_Freeman_C_SQL,0,0,0,0,,0,2024-10-12,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
Blankenship v Leonards Express Inc,OK,LeonardsExpress_Blankenship_C,LeonardsExpress_Blankenship_C_SQL,10,10,0,0,,0,2025-07-03,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Bozorgmehri v. Addus Healthcare, Inc.",OK,AddusHealthcare_Bozorgmehri_C,AddusHealthcare_Bozorgmehri_C_SQL,27,27,0,0,,0,2026-03-03,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Brett et al. v. Valley Mountain Regional Center, Inc",OK,ValleyMountainRegionalCenter_Brett_C,ValleyMountainRegionalCenter_Brett_C_SQL,4146,4146,0,0,,0,2025-08-20,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Brown v. 1888 Mills, LLC",OK,One888Mills_Brown_PC,1888Mills_Brown_PC_SQL,0,0,0,0,,0,2023-01-23,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Brown v. Audiology Distribution, LLC, et al.",OK,AudiologyDistribution_Brown_C,AudiologyDistribution_Brown_C_SQL,0,0,0,0,,0,2024-10-07,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Burnett et al. v. National Association of Realtors, et al.",OK,NAR_Sitzer_PC,NAR_Burnett_PC_SQL,0,0,0,0,,0,2022-11-12,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Cabral v. Wemlo, LLC",OK,Wemlo_Cabral_C,Wemlo_Cabral_C_SQL,0,0,0,0,,0,2025-03-25,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
"Caldwell v. Identity Intelligence Group, LLC - Deactivated",OK,IdentityIntelligenceGroup_Caldwell_D,IdentityIntelligenceGroup_Caldwell_D_SQL,0,0,0,0,,0,2025-02-13,2025-06-13,ONLINE,false,Confirmation compare clean for valid in-window submissions (deadline/today/test filters applied).
